id,value
39196593,0.0
39196596,0.0
23084670,0.0
39196597,0.0
23627115,0.0147
39196619,0.0
24406710,0.0
24652858,0.0
39493580,0.0
39493581,0.0
39493582,0.0
24797004,0.9316
24832731,0.0
39493583,0.0
24832732,0.0466
39493584,0.0
24832733,0.718
24832734,0.99
39535031,0.0012
24832740,0.0046
24832741,0.0049
25474636,0.0
39698707,0.0
25474638,0.0
25510574,0.0
39698708,0.0
25951455,0.0288
5236601,0.0147
26076463,0.0
39700264,0.03
5236602,0.0012
26076465,0.0075
26076468,0.0
39700265,0.0305
5236603,0.0
5236604,0.0
27665795,0.0
5236605,0.0
39700266,0.0
28031460,0.0509
5236606,0.0
28031461,0.0138
5236607,0.052199999999999996
39702826,0.0
5236608,0.0
39702864,0.0
39703416,0.0
39748266,0.0241
39749522,0.0
39749523,0.0
39750398,0.0175
39750399,0.0
39750400,0.0
39782501,0.0
39782502,0.0
39991361,0.0
39991362,0.0
39991363,0.0
40392801,0.0
28284012,0.0
28284018,0.0
40392803,0.0
28284033,0.0033
40392868,0.0
28284034,0.0074
28284035,0.0
40393868,0.0
28300145,0.0218
40394258,0.0
28300147,0.04190000000000001
5236609,0.0
28300148,0.0132
5236610,0.0
5236611,0.0
28300149,0.0
28300150,0.0108
5236613,0.0
40394337,0.0
40394643,0.0
28300151,0.0
5236614,0.0
40394646,0.0
28300152,0.0245
5236615,0.0
28300153,0.0
28300154,0.0
28978588,0.0
28978590,0.0
28978591,0.0
40394650,0.0
4537174,0.0604
40394753,0.0
40396004,0.0
29239397,0.0012
41089117,0.0
41089118,0.0
29239398,0.0
41089119,0.0
29239401,0.0
41487913,0.0
32823273,0.0
32823274,0.0
41487921,0.0
32823275,0.0
33996100,0.0
41487922,0.0
41487925,0.0696
41487926,0.0
41487957,0.0
5236616,0.0
5236617,0.0
5236618,0.0
42919908,0.0
5236619,0.0
43310007,0.0
5304508,0.009399999999999999
5304510,0.014199999999999999
44779404,0.0
23739195,0.2857
44779411,0.0
44779441,0.0
44779442,0.0
44779443,0.0
44779444,0.0
44779452,0.0
24527136,0.0
39696829,0.0
39696835,0.0
39696843,0.0
39696878,0.0
39696975,0.0
39697038,0.0
39697177,0.0
39697210,0.0
39744490,0.0067
39744492,0.0016
39745970,0.0
39745975,0.029300000000000003
39745979,0.0313
39745984,0.0
44779460,0.0
39750706,0.0
25809651,0.0
43125697,0.0
43125699,0.0
56191739,0.0
56191741,0.0
64548453,0.99
64548455,0.99
69715529,0.0341
76096651,0.0382
80921349,0.0
80921350,0.0
24527517,0.0
80921353,0.0
80921358,0.0
44779461,0.0
88076073,0.0
26100443,0.0
26100444,0.0
44779463,0.0
26100445,0.0
44779464,0.0
88076075,0.0
26100446,0.0
88076076,0.0
44779466,0.0
88076082,0.0
26100447,0.0
44779467,0.0
44779468,0.0
88076083,0.0
26100448,0.0
92738113,0.0
26100449,0.0
94586338,0.0225
26100450,0.0812
102854028,0.0
26100451,0.0
44779469,0.0
26100452,0.0
107445294,0.2815
114424454,0.0
26100453,0.0
114451885,0.0231
114467912,0.99
114467918,0.9678
45242051,0.0
114467919,0.9234
26100454,0.0
114467926,0.8995000000000001
119325834,0.0
26100455,0.0
26100456,0.0
45242981,0.0
24544141,0.33
119325838,0.0
45242982,0.0
26100457,0.0
119325844,0.0
26100463,0.0
119325857,0.0
26100464,0.0
120028604,0.0
26100465,0.0
26100466,0.0
45242983,0.0
26100468,0.0
26100469,0.0
45243141,0.0
120029573,0.0
26100470,0.0
45244599,0.0
26100471,0.0
45244600,0.0
47434134,0.0
47434136,0.0
24646094,0.529
47434137,0.0
51426613,0.0
25042049,0.0
56191387,0.0
56191388,0.0
56191389,0.0
56191390,0.0
60705665,0.0
60705683,0.0
60705686,0.0
62069404,0.0
62069406,0.0
64548451,0.99
121582440,0.0
26100557,0.0
26100558,0.0
26100559,0.0
26100561,0.0
26100562,0.0
26100563,0.0
26100564,0.0
26100565,0.0
26100589,0.0
26100590,0.0
26100591,0.0
26100592,0.0
26100593,0.0
26100594,0.0
26100599,0.0
26100600,0.0
26100619,0.07919999999999999
26100633,0.0
26100634,0.0
26117327,0.0
26117328,0.0
26182959,0.0
122493663,0.0
69559708,0.08220000000000001
122493664,0.0
122493665,0.0
26206512,0.7962
133789628,0.0
71156844,0.0882
143958295,0.015
143958299,0.0
79058144,0.0
143958302,0.0022
25048431,0.6215999999999999
80864050,0.0
143958304,0.0
25048465,0.6688
80864051,0.0
143958313,0.0012
80864587,0.0
82228136,0.0
143958314,0.0281
25048473,0.2132
82228138,0.0
82228139,0.0
88069217,0.0
143958315,0.0032
143958318,0.0
143958320,0.0
88076071,0.0
189820712,0.0
88076087,0.0
26206515,0.0
192239197,0.0
192239198,0.0
27829319,0.0301
192239200,0.0176
192239201,0.0692
88076093,0.0282
192995014,0.0074
192995015,0.0024
202873430,0.0
27829320,0.0332
202873431,0.0
202873432,0.0
27829321,0.0626
202873434,0.0004
27829326,0.6864
202873437,0.0
27829328,0.97
203011190,0.0
203011191,0.0
27829399,0.966
203335387,0.0
205279456,0.0
27829400,0.99
224448041,0.0
27829833,0.08
229264843,0.0
27829834,0.0226
232039729,0.0
232039732,0.0
232039734,0.0
232039735,0.0042
232039736,0.0
27829835,0.0535
232039737,0.0
27831656,0.0
88076094,0.0
232135214,0.0
27847603,0.015
232164887,0.0
233013454,0.0
27847606,0.0953
233013455,0.0
27847610,0.0692
253070606,0.001
259545125,0.0
92738088,0.0
95442234,0.0
259545126,0.0
25576868,0.9873999999999999
259545127,0.0
97452025,0.0
259545128,0.0
25631992,0.4316
259545133,0.14859999999999998
259545135,0.3347
97452036,0.0
259545138,0.0
25708022,0.28
25809637,0.0
97452064,0.0
97452066,0.0
259545139,0.35509999999999997
25809643,0.0
4026667,0.0
264335164,0.0
25809647,0.0
264337100,0.0
4077110,0.0
264342501,0.0
4084203,0.0
265458222,0.0
306006942,0.9618000000000001
4084293,0.0
313613087,0.0
4084295,0.0
313613091,0.0
313613099,0.0
100455718,0.0
100455723,0.0029
27847613,0.0931
100455725,0.0
100455726,0.0018
100646740,0.0
27847615,0.035699999999999996
27847617,0.0202
27847627,0.0447
27847630,0.23800000000000002
27847632,0.0665
27847634,0.0333
27847639,0.0259
27847641,0.0484
27847644,0.0478
27847645,0.0535
27847647,0.0724
4226485,0.0
27847649,0.0011
4226487,0.0
27847650,0.0127
4226488,0.0
4226491,0.0
25809649,0.0
